Tube #	Sample	Extraction Weight (g)	ng/ul	A260/280
1	T2	0.25	187.4	1.915
2	T4	0.25	178	1.924
3	T6	0.25	159.2	1.914
4	T8	0.26	189.2	1.907
5	T10	0.25	150	1.887
6	T12	0.25	176.9	1.894
7	T14	0.25	120.6	1.896
8	T16	0.25	151.9	1.901
9	T18	0.24	116.6	1.878
10	T20	0.24	86.9	1.894
11	T22	0.26	124	1.894
12	T24	0.25	180.1	1.893
13	T26	0.25	160.8	1.888
14	T28	0.25	172.9	1.891
15	T30	0.26	204.2	1.879
16	Q2	0.24	135.7	1.893
17	Q4	0.26	78.8	1.863
18	Q6	0.24	126.1	1.879
19	Q8	0.25	128.7	1.723
20	Q10	0.26	120.7	1.879
21	Q12	0.25	110.6	1.872
22	Q14	0.25	148.3	1.894
23	Q16	0.25	138.3	1.733
24	Q18	0.25	79.3	1.874
25	Q20	0.25	80.9	1.864
26	Q22	0.26	84.3	1.883
27	Q24	0.25	93.2	1.875
28	Q26	0.25	136.1	1.874
29	Q28	0.25	85	1.868
30	Q30	0.25	78.8	1.84
31	KM2 2	0.25	193.5	1.869
32	KM2 4	0.25	222	1.873
33	KM2 6	0.25	258	1.883
34	KM2 8	0.25	117	1.857
35	KM2 10	0.25	127.1	1.867
36	KM2 12	0.26	173.7	1.874
37	KM2 14	0.25	160.4	1.745
38	KM2 16	0.24	147.8	1.864
39	KM2 18	0.24	127.6	1.874
40	KM2 20	0.25	87.4	1.864
41	KM2 22	0.24	133.6	1.88
42	KM2 24	0.24	139.3	1.875
43	KM2 26	0.25	128.1	1.868
44	KM2 28	0.25	155.4	1.886
45	KM2 30	0.25	209.8	1.789
46	KM4 2	0.25	194.1	1.873
47	KM4 4	0.25	224.7	1.87
48	KM4 6	0.25	200.2	1.885
49	KM4 8	0.25	217.4	1.884
50	KM4 10	0.25	321.3	1.881
51	KM4 12	0.25	253.2	1.887
52	KM4 14	0.25	255.9	1.89
53	KM4 16	0.25	207.2	1.872
54	KM4 18	0.26	267.9	1.881
55	KM4 20	0.25	183.6	1.872
56	KM4 22	0.25	213	1.805
57	KM4 24	0.26	151.3	1.872
58	KM4 26	0.24	177.3	1.86
59	KM4 28	0.25	198	1.784
60	KM4 30	0.25	232	1.901
61	KM5 2	0.26	184.1	1.887
62	KM5 4	0.25	155.3	1.899
63	KM5 6	0.25	125.5	1.793
64	KM5 8	0.25	141.9	1.882
65	KM5 10	0.26	160.4	1.878
66	KM5 12	0.26	250.4	1.884
67	KM5 14	0.24	127	1.882
68	KM5 16	0.26	178.4	1.88
69	KM5 18	0.26	188.7	1883
70	KM5 20	0.25	193.5	1.879
71	KM5 22	0.25	218	1.897
72	KM5 24	0.25	269.8	1.887
73	KM5 26	0.25	292.9	1.873
74	KM5 28	0.25	204.4	1.86
75	KM5 30	0.25	277	1.899
